Event Name,Event Type,Event Description,Calendar,All Day,Public/private,Reported Count,Start Date,End Date,Created By,URL,Image URL
DRAGON QUEST III HD-2D Remake,Sale,,sephora Calendar,No,Public,0,11/14/24,11/15/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000077709/20cc4f8e9e8fb5986c9f2bacb496f70780ae97a70d81a6f9f0dfd8e4d2a44b5f"
The Plucky Squire,Sale,,sephora Calendar,No,Public,0,9/17/24,09/18/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000055498/8b05f0840b34aa339942d56b1dc0d99e059f96d1069761d897e8af9090b61ff9"
EA SPORTS FC™ 25 Standard Edition,Sale,,sephora Calendar,No,Public,0,9/27/24,09/28/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000074799/d839d0395f20816b04243cc376e13d109358fd335b627b7829d81e4cb11ef217"
Sid Meier's Civilization® VII,Sale,,sephora Calendar,No,Public,0,2/11/25,02/12/25,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000041430/eee1009248f482d2fff3a17775545647b4146c36001a6d670af617e8ed4af705"
SONIC X SHADOW GENERATIONS,Sale,,sephora Calendar,No,Public,0,10/25/24,10/26/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000069536/62d840ef779d25a962d0a7710a5b3e46e27df886bcfba7997ee65395da7efaac"
Morkull Ragast's Rage,Sale,,sephora Calendar,No,Public,0,1/16/25,01/17/25,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000072754/e5c20dabf55be9ccb3c04f9589092c6915077641e1a3489be9ce4be663e89272"
Disney Epic Mickey: Rebrushed,Sale,,sephora Calendar,No,Public,0,9/24/24,09/25/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000065853/a2b5fd314b6891763933191fbc5b76f7f77103e2198a620ad07db99bd3f14142"
Stories from Sol: The Gun-Dog,Sale,,sephora Calendar,No,Public,0,2/20/25,02/21/25,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000073077/a61df8bfc235b8b35edf94ff49797187fd6ca884a5c5008c1db0d3f7834ab58a"
EARTH DEFENSE FORCE: WORLD BROTHERS 2,Sale,,sephora Calendar,No,Public,0,9/26/24,09/27/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000076002/70326142b4ea4cc176aea0dfeac0a857b53cff931f53caa5b245abe1ba9b7661"
CyberCorp,Sale,,sephora Calendar,No,Public,0,1/30/25,01/31/25,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000049074/4e67d6f44a1ad516ca1bad79faa6891bd403a143f389b740f3047c9ab812cf9e"
Garden Witch Life,Sale,,sephora Calendar,No,Public,0,9/12/24,09/13/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000071790/40fb6438b45fee6ccd1c18d2efc3333697a7cf5baab3406398f7ee47efd520c2"
Selfloss,Sale,,sephora Calendar,No,Public,0,9/12/24,09/13/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000077413/ff730d5d425d0f00ff59717e81a6d6e37582be6a5fd061442a0c449631488f47"
REYNATIS,Sale,,sephora Calendar,No,Public,0,9/27/24,09/28/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000076648/54761112c4ad8c91ae6267cf32d818f8d39fcb5170d994d28a524b8511dd84aa"
Beyond Galaxyland,Sale,,sephora Calendar,No,Public,0,9/24/24,09/25/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000075785/9a7ab3093246bd53bcca07006bf29d59164e02f1ab413b144169ba8a9b160070"
Teenage Mutant Ninja Turtles: Mutants Unleashed,Sale,,sephora Calendar,No,Public,0,10/18/24,10/19/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000068855/3a0a5034b8277000b7add1e40874772af0f4a200e8f570c91c4b7188ef794e27"
Shin chan: Shiro and the Coal Town,Sale,,sephora Calendar,No,Public,0,10/24/24,10/25/24,https://www.nintendo.com/us/store/games/coming-soon/#sort=df&p=0,"https://assets.nintendo.com/image/upload/ar_16:9,b_auto:border,c_lpad/b_white/f_auto/q_auto/dpr_1.5/c_scale,w_300/ncom/software/switch/70010000076988/436e4d20cfa09f3467d1809261114eb485ee140452f698afeb04b39b5184bb67"
